,user_id,user_name,user_profile_link,badges,reputation,reached,answer_count,questions_count,member_since,post_id
8633769,8633769,Nosey,https://stackoverflow.com/users/8633769/nosey,"{'gold': 0, 'silver': 7, 'bronze': 14}",724,982000,5,6,2017-09-19,61590772
9676349,9676349,ammu,https://stackoverflow.com/users/9676349/ammu,"{'gold': 0, 'silver': 1, 'bronze': 2}",1,187,0,2,2018-04-20,61585373
5889446,5889446,bob,https://stackoverflow.com/users/5889446/bob,"{'gold': 0, 'silver': 0, 'bronze': 5}",25,1000,0,3,2016-02-05,61541709
2789334,2789334,ironv,https://stackoverflow.com/users/2789334/ironv,"{'gold': 0, 'silver': 12, 'bronze': 28}",1058,58000,3,81,2013-09-17,61536248
1928229,1928229,XentneX,https://stackoverflow.com/users/1928229/xentnex,"{'gold': 0, 'silver': 0, 'bronze': 6}",117,2000,1,6,2012-12-25,61504433
5906999,5906999,Manjit P.,https://stackoverflow.com/users/5906999/manjit-p,"{'gold': 1, 'silver': 1, 'bronze': 7}",85,61000,3,12,2016-02-10,61474033
7926371,7926371,schmitzi89,https://stackoverflow.com/users/7926371/schmitzi89,"{'gold': 0, 'silver': 0, 'bronze': 7}",65,10000,8,4,2017-04-26,61460911
12072654,12072654,ndichistan,https://stackoverflow.com/users/12072654/ndichistan,"{'gold': 0, 'silver': 0, 'bronze': 7}",47,3000,0,7,2019-09-16,61435532
13288450,13288450,Shenlong,https://stackoverflow.com/users/13288450/shenlong,"{'gold': 0, 'silver': 0, 'bronze': 3}",11,284,0,3,2020-04-11,61420508
7609862,7609862,Learner_seeker,https://stackoverflow.com/users/7609862/learner-seeker,"{'gold': 1, 'silver': 4, 'bronze': 21}",544,83000,14,35,2017-02-23,61384553
3788557,3788557,runningbirds,https://stackoverflow.com/users/3788557/runningbirds,"{'gold': 14, 'silver': 61, 'bronze': 101}",6565,1000000,2,170,2014-06-29,61322491
13354571,13354571,Martin Smaga,https://stackoverflow.com/users/13354571/martin-smaga,"{'gold': 0, 'silver': 0, 'bronze': 2}",11,608,0,1,2020-04-19,61305294
13341613,13341613,Malcolm Burr,https://stackoverflow.com/users/13341613/malcolm-burr,"{'gold': 0, 'silver': 0, 'bronze': 3}",23,879,0,2,2020-04-17,61277101
12112983,12112983,nikoscham,https://stackoverflow.com/users/12112983/nikoscham,"{'gold': 0, 'silver': 0, 'bronze': 6}",33,1000,0,3,2019-09-24,61230237
3118100,3118100,V Manikandan,https://stackoverflow.com/users/3118100/v-manikandan,"{'gold': 0, 'silver': 6, 'bronze': 25}",370,45000,2,28,2013-12-19,61172226
13271245,13271245,Edimer David Jaramillo,https://stackoverflow.com/users/13271245/edimer-david-jaramillo,"{'gold': 0, 'silver': 0, 'bronze': 2}",13,594,0,3,2020-04-09,61125642
6422477,6422477,CezarySzulc,https://stackoverflow.com/users/6422477/cezaryszulc,"{'gold': 1, 'silver': 16, 'bronze': 32}",1999,253000,64,37,2016-06-04,61098457
7609862,7609862,Learner_seeker,https://stackoverflow.com/users/7609862/learner-seeker,"{'gold': 1, 'silver': 4, 'bronze': 21}",544,83000,14,35,2017-02-23,61071343
8832593,8832593,Carlos G. Cardenas V.,https://stackoverflow.com/users/8832593/carlos-g-cardenas-v,"{'gold': 0, 'silver': 1, 'bronze': 13}",115,11000,7,9,2017-10-25,60918535
11991386,11991386,Subhadip Datta,https://stackoverflow.com/users/11991386/subhadip-datta,"{'gold': 0, 'silver': 0, 'bronze': 2}",29,486,4,4,2019-08-28,60797040
8419421,8419421,Chenying Gao,https://stackoverflow.com/users/8419421/chenying-gao,"{'gold': 0, 'silver': 4, 'bronze': 14}",310,25000,1,17,2017-08-04,60709464
10882376,10882376,Sarvendra Singh,https://stackoverflow.com/users/10882376/sarvendra-singh,"{'gold': 0, 'silver': 0, 'bronze': 4}",13,2000,0,6,2019-01-08,60696897
7122272,7122272,Jaroslav Bezděk,https://stackoverflow.com/users/7122272/jaroslav-bezd%c4%9bk,"{'gold': 6, 'silver': 32, 'bronze': 57}",7545,3000000,146,32,2016-11-06,60667920
6008810,6008810,Eric Vilarrasa Canadell,https://stackoverflow.com/users/6008810/eric-vilarrasa-canadell,"{'gold': 0, 'silver': 0, 'bronze': 2}",11,183,0,1,2016-03-02,60617031
1056563,1056563,WestCoastProjects,https://stackoverflow.com/users/1056563/westcoastprojects,"{'gold': 103, 'silver': 351, 'bronze': 612}",62674,10500000,777,"1,203",2011-11-20,60593198
7535311,7535311,David Jacques,https://stackoverflow.com/users/7535311/david-jacques,"{'gold': 0, 'silver': 4, 'bronze': 11}",348,192000,5,5,2017-02-08,60563604
1032341,1032341,stubble jumper,https://stackoverflow.com/users/1032341/stubble-jumper,"{'gold': 1, 'silver': 4, 'bronze': 11}",313,23000,0,16,2011-11-06,60509766
11616033,11616033,BP34500,https://stackoverflow.com/users/11616033/bp34500,"{'gold': 0, 'silver': 0, 'bronze': 9}",178,7000,7,6,2019-06-07,60496404
9210713,9210713,Oliver Metcalf,https://stackoverflow.com/users/9210713/oliver-metcalf,"{'gold': 0, 'silver': 0, 'bronze': 4}",13,2000,0,1,2018-01-12,60475543
10643932,10643932,Bob,https://stackoverflow.com/users/10643932/bob,"{'gold': 0, 'silver': 0, 'bronze': 4}",41,962,0,7,2018-11-13,60470926
12974747,12974747,riddler747,https://stackoverflow.com/users/12974747/riddler747,"{'gold': 0, 'silver': 0, 'bronze': 1}",11,433,0,1,2020-02-27,60438883
5620975,5620975,Hanjo Odendaal,https://stackoverflow.com/users/5620975/hanjo-odendaal,"{'gold': 2, 'silver': 14, 'bronze': 32}",1431,77000,43,36,2015-11-30,60391514
1056563,1056563,WestCoastProjects,https://stackoverflow.com/users/1056563/westcoastprojects,"{'gold': 103, 'silver': 351, 'bronze': 612}",62674,10500000,777,"1,203",2011-11-20,60387031
6472849,6472849,brice,https://stackoverflow.com/users/6472849/brice,"{'gold': 1, 'silver': 12, 'bronze': 16}",1881,93000,87,6,2016-06-16,60370607
2263303,2263303,Clem Wang,https://stackoverflow.com/users/2263303/clem-wang,"{'gold': 0, 'silver': 8, 'bronze': 16}",739,728000,32,15,2013-04-09,60310899
11879339,11879339,ebuzz168,https://stackoverflow.com/users/11879339/ebuzz168,"{'gold': 2, 'silver': 20, 'bronze': 44}",1164,328000,13,53,2019-08-04,60275392
12916632,12916632,Shubham Tripathi,https://stackoverflow.com/users/12916632/shubham-tripathi,"{'gold': 0, 'silver': 0, 'bronze': 1}",11,602,0,1,2020-02-18,60274066
1032341,1032341,stubble jumper,https://stackoverflow.com/users/1032341/stubble-jumper,"{'gold': 1, 'silver': 4, 'bronze': 11}",313,23000,0,16,2011-11-06,60269995
12907298,12907298,Patrick,https://stackoverflow.com/users/12907298/patrick,"{'gold': 0, 'silver': 0, 'bronze': 2}",11,276,0,1,2020-02-16,60248668
11879339,11879339,ebuzz168,https://stackoverflow.com/users/11879339/ebuzz168,"{'gold': 2, 'silver': 20, 'bronze': 44}",1164,328000,13,53,2019-08-04,60235198
12900756,12900756,Deepak,https://stackoverflow.com/users/12900756/deepak,"{'gold': 0, 'silver': 0, 'bronze': 2}",41,6000,2,1,2020-02-14,60233674
6840991,6840991,vosirus,https://stackoverflow.com/users/6840991/vosirus,"{'gold': 0, 'silver': 1, 'bronze': 6}",123,28000,1,2,2016-09-16,60210768
12848851,12848851,spokes,https://stackoverflow.com/users/12848851/spokes,"{'gold': 0, 'silver': 0, 'bronze': 0}",1,56,0,1,2020-02-06,60176991
2432030,2432030,Rokko_11,https://stackoverflow.com/users/2432030/rokko-11,"{'gold': 2, 'silver': 12, 'bronze': 27}",897,192000,8,45,2013-05-29,60164981
12857373,12857373,luis_ferreira223,https://stackoverflow.com/users/12857373/luis-ferreira223,"{'gold': 0, 'silver': 0, 'bronze': 6}",84,2000,4,2,2020-02-07,60112299
2022620,2022620,DraXus,https://stackoverflow.com/users/2022620/draxus,"{'gold': 0, 'silver': 0, 'bronze': 7}",81,9000,3,1,2013-01-29,60111812
3519000,3519000,lrnzcig,https://stackoverflow.com/users/3519000/lrnzcig,"{'gold': 4, 'silver': 39, 'bronze': 52}",3947,496000,129,11,2014-04-10,60094702
6497137,6497137,Ryan John,https://stackoverflow.com/users/6497137/ryan-john,"{'gold': 1, 'silver': 15, 'bronze': 23}",1430,123000,32,19,2016-06-22,60046449
3567577,3567577,litotes,https://stackoverflow.com/users/3567577/litotes,"{'gold': 0, 'silver': 2, 'bronze': 12}",99,11000,0,12,2014-04-24,60024798
851043,851043,mccurcio,https://stackoverflow.com/users/851043/mccurcio,"{'gold': 5, 'silver': 26, 'bronze': 45}",1323,223000,18,46,2011-07-19,59991017
12771832,12771832,proselotis,https://stackoverflow.com/users/12771832/proselotis,"{'gold': 0, 'silver': 0, 'bronze': 1}",11,2000,2,1,2020-01-23,59887618
1349673,1349673,James Hirschorn,https://stackoverflow.com/users/1349673/james-hirschorn,"{'gold': 6, 'silver': 54, 'bronze': 54}",7886,3900000,103,29,2012-04-22,59833263
10314460,10314460,AvyWam,https://stackoverflow.com/users/10314460/avywam,"{'gold': 0, 'silver': 8, 'bronze': 35}",970,64000,12,62,2018-09-04,59812521
8236733,8236733,lampShadesDrifter,https://stackoverflow.com/users/8236733/lampshadesdrifter,"{'gold': 9, 'silver': 50, 'bronze': 117}",4139,453000,111,267,2017-06-30,59690508
3303571,3303571,XWen,https://stackoverflow.com/users/3303571/xwen,"{'gold': 1, 'silver': 2, 'bronze': 10}",361,46000,3,4,2014-02-12,59685087
12672700,12672700,arkaprova,https://stackoverflow.com/users/12672700/arkaprova,"{'gold': 0, 'silver': 0, 'bronze': 1}",1,201,1,1,2020-01-08,59640204
12658698,12658698,Michael,https://stackoverflow.com/users/12658698/michael,"{'gold': 0, 'silver': 0, 'bronze': 2}",11,191,0,1,2020-01-06,59605695
8284995,8284995,a--on-,https://stackoverflow.com/users/8284995/a-on,"{'gold': 0, 'silver': 0, 'bronze': 8}",153,9000,7,6,2017-07-10,59552280
12627525,12627525,Bilal Munawar,https://stackoverflow.com/users/12627525/bilal-munawar,"{'gold': 0, 'silver': 0, 'bronze': 2}",1,1000,1,4,2019-12-30,59536276
1680980,1680980,Stephen,https://stackoverflow.com/users/1680980/stephen,"{'gold': 1, 'silver': 4, 'bronze': 16}",590,111000,11,22,2012-09-18,59514439
12137786,12137786,Lale Rzayeva,https://stackoverflow.com/users/12137786/lale-rzayeva,"{'gold': 0, 'silver': 0, 'bronze': 1}",11,257,0,2,2019-09-29,59510832
9594523,9594523,ankur srivastava,https://stackoverflow.com/users/9594523/ankur-srivastava,"{'gold': 0, 'silver': 0, 'bronze': 0}",1,299,0,1,2018-04-04,59495896
10161382,10161382,ssaha,https://stackoverflow.com/users/10161382/ssaha,"{'gold': 0, 'silver': 2, 'bronze': 10}",499,11000,23,7,2018-07-31,59471469
5620975,5620975,Hanjo Odendaal,https://stackoverflow.com/users/5620975/hanjo-odendaal,"{'gold': 2, 'silver': 14, 'bronze': 32}",1431,77000,43,36,2015-11-30,59434658
6599069,6599069,Vishal Gupta,https://stackoverflow.com/users/6599069/vishal-gupta,"{'gold': 0, 'silver': 0, 'bronze': 2}",3,434,0,2,2016-07-17,59409214
8490618,8490618,Bhushan Gosavi,https://stackoverflow.com/users/8490618/bhushan-gosavi,"{'gold': 0, 'silver': 1, 'bronze': 5}",55,3000,2,3,2017-08-20,59398842
1651933,1651933,Nonancourt,https://stackoverflow.com/users/1651933/nonancourt,"{'gold': 3, 'silver': 10, 'bronze': 21}",559,67000,4,22,2012-09-06,59397951
12548876,12548876,JaredDudley04,https://stackoverflow.com/users/12548876/jareddudley04,"{'gold': 1, 'silver': 1, 'bronze': 4}",123,17000,0,1,2019-12-17,59366199
2504477,2504477,yavalvas,https://stackoverflow.com/users/2504477/yavalvas,"{'gold': 0, 'silver': 2, 'bronze': 17}",330,38000,16,17,2013-06-20,59360013
12545147,12545147,Joseph,https://stackoverflow.com/users/12545147/joseph,"{'gold': 0, 'silver': 0, 'bronze': 2}",23,987,0,1,2019-12-16,59359438
3437438,3437438,Charles,https://stackoverflow.com/users/3437438/charles,"{'gold': 1, 'silver': 1, 'bronze': 10}",150,14000,2,6,2014-03-19,59309659
3972214,3972214,ronencozen,https://stackoverflow.com/users/3972214/ronencozen,"{'gold': 2, 'silver': 18, 'bronze': 27}",2181,251000,12,40,2014-08-24,59286816
7609862,7609862,Learner_seeker,https://stackoverflow.com/users/7609862/learner-seeker,"{'gold': 1, 'silver': 4, 'bronze': 21}",544,83000,14,35,2017-02-23,59281114
1008690,1008690,Gustavo Orair,https://stackoverflow.com/users/1008690/gustavo-orair,"{'gold': 0, 'silver': 0, 'bronze': 4}",106,10000,5,3,2011-10-22,59273268
1008690,1008690,Gustavo Orair,https://stackoverflow.com/users/1008690/gustavo-orair,"{'gold': 0, 'silver': 0, 'bronze': 4}",106,10000,5,3,2011-10-22,59219818
9244371,9244371,Hutch3232,https://stackoverflow.com/users/9244371/hutch3232,"{'gold': 0, 'silver': 4, 'bronze': 12}",428,15000,9,8,2018-01-20,59186548
12475336,12475336,Helen,https://stackoverflow.com/users/12475336/helen,"{'gold': 0, 'silver': 0, 'bronze': 2}",11,92,0,1,2019-12-03,59161989
2029041,2029041,Gandras,https://stackoverflow.com/users/2029041/gandras,"{'gold': 0, 'silver': 0, 'bronze': 3}",23,2000,6,1,2013-01-31,59155659
1008690,1008690,Gustavo Orair,https://stackoverflow.com/users/1008690/gustavo-orair,"{'gold': 0, 'silver': 0, 'bronze': 4}",106,10000,5,3,2011-10-22,59146506
962885,962885,Zarni,https://stackoverflow.com/users/962885/zarni,"{'gold': 0, 'silver': 0, 'bronze': 6}",109,4000,0,6,2011-09-24,59146086
1651933,1651933,Nonancourt,https://stackoverflow.com/users/1651933/nonancourt,"{'gold': 3, 'silver': 10, 'bronze': 21}",559,67000,4,22,2012-09-06,59138734
9464831,9464831,Divya M,https://stackoverflow.com/users/9464831/divya-m,"{'gold': 0, 'silver': 2, 'bronze': 8}",43,9000,1,7,2018-03-08,59077793
12417981,12417981,Elliot,https://stackoverflow.com/users/12417981/elliot,"{'gold': 0, 'silver': 0, 'bronze': 3}",21,666,0,1,2019-11-22,59002720
7111951,7111951,jessicalfr,https://stackoverflow.com/users/7111951/jessicalfr,"{'gold': 0, 'silver': 0, 'bronze': 7}",79,5000,1,8,2016-11-03,59000235
2259468,2259468,EngrStudent,https://stackoverflow.com/users/2259468/engrstudent,"{'gold': 0, 'silver': 31, 'bronze': 51}",1972,130000,48,71,2013-04-08,58997372
12399026,12399026,Vishal Meshram,https://stackoverflow.com/users/12399026/vishal-meshram,"{'gold': 0, 'silver': 0, 'bronze': 1}",1,118,0,1,2019-11-19,58966949
12302914,12302914,user12302914,https://stackoverflow.com/users/12302914/user12302914,"{'gold': 0, 'silver': 0, 'bronze': 4}",23,556,0,2,2019-10-31,58916070
7873546,7873546,Shivkumar Agrawal,https://stackoverflow.com/users/7873546/shivkumar-agrawal,"{'gold': 0, 'silver': 1, 'bronze': 1}",41,2000,0,5,2017-04-16,58912175
5428238,5428238,Math Lover,https://stackoverflow.com/users/5428238/math-lover,"{'gold': 0, 'silver': 4, 'bronze': 16}",177,25000,1,18,2015-10-09,58906453
1043686,1043686,Ege,https://stackoverflow.com/users/1043686/ege,"{'gold': 4, 'silver': 17, 'bronze': 36}",941,214000,6,42,2011-11-12,58813442
10829854,10829854,littleturtle,https://stackoverflow.com/users/10829854/littleturtle,"{'gold': 0, 'silver': 0, 'bronze': 7}",105,3000,5,7,2018-12-24,58736225
3303571,3303571,XWen,https://stackoverflow.com/users/3303571/xwen,"{'gold': 1, 'silver': 2, 'bronze': 10}",361,46000,3,4,2014-02-12,58712625
1043686,1043686,Ege,https://stackoverflow.com/users/1043686/ege,"{'gold': 4, 'silver': 17, 'bronze': 36}",941,214000,6,42,2011-11-12,58691256
10643932,10643932,Bob,https://stackoverflow.com/users/10643932/bob,"{'gold': 0, 'silver': 0, 'bronze': 4}",41,962,0,7,2018-11-13,58675365
12309946,12309946,Andrés Peña Ordóñez,https://stackoverflow.com/users/12309946/andr%c3%a9s-pe%c3%b1a-ord%c3%b3%c3%b1ez,"{'gold': 0, 'silver': 0, 'bronze': 1}",11,187,0,1,2019-11-01,58665502
2986932,2986932,h45,https://stackoverflow.com/users/2986932/h45,"{'gold': 0, 'silver': 1, 'bronze': 6}",246,60000,22,1,2013-11-13,58653362
1700890,1700890,user1700890,https://stackoverflow.com/users/1700890/user1700890,"{'gold': 22, 'silver': 97, 'bronze': 203}",7672,1300000,7,399,2012-09-26,58631145
10382081,10382081,V1cst3r,https://stackoverflow.com/users/10382081/v1cst3r,"{'gold': 0, 'silver': 1, 'bronze': 10}",57,8000,2,5,2018-09-18,58630426
1700890,1700890,user1700890,https://stackoverflow.com/users/1700890/user1700890,"{'gold': 22, 'silver': 97, 'bronze': 203}",7672,1300000,7,399,2012-09-26,58615510
11935985,11935985,ATUL AGARWAL,https://stackoverflow.com/users/11935985/atul-agarwal,"{'gold': 0, 'silver': 1, 'bronze': 3}",101,5000,0,2,2019-08-16,58601802
10643932,10643932,Bob,https://stackoverflow.com/users/10643932/bob,"{'gold': 0, 'silver': 0, 'bronze': 4}",41,962,0,7,2018-11-13,58584899
5800182,5800182,PabloDK,https://stackoverflow.com/users/5800182/pablodk,"{'gold': 3, 'silver': 23, 'bronze': 43}",2479,189000,14,53,2016-01-17,58581866
844623,844623,chrism,https://stackoverflow.com/users/844623/chrism,"{'gold': 0, 'silver': 0, 'bronze': 6}",95,16000,8,4,2011-07-14,58576117
1043686,1043686,Ege,https://stackoverflow.com/users/1043686/ege,"{'gold': 4, 'silver': 17, 'bronze': 36}",941,214000,6,42,2011-11-12,58524136
6472849,6472849,brice,https://stackoverflow.com/users/6472849/brice,"{'gold': 1, 'silver': 12, 'bronze': 16}",1881,93000,87,6,2016-06-16,58515602
7846405,7846405,sefiks,https://stackoverflow.com/users/7846405/sefiks,"{'gold': 0, 'silver': 10, 'bronze': 18}",1585,938000,152,6,2017-04-10,58482743
6178478,6178478,jordinec,https://stackoverflow.com/users/6178478/jordinec,"{'gold': 0, 'silver': 0, 'bronze': 6}",85,3000,1,7,2016-04-08,58482180
6472849,6472849,brice,https://stackoverflow.com/users/6472849/brice,"{'gold': 1, 'silver': 12, 'bronze': 16}",1881,93000,87,6,2016-06-16,58469273
12244303,12244303,Shafi Ullah Qureshi,https://stackoverflow.com/users/12244303/shafi-ullah-qureshi,"{'gold': 0, 'silver': 0, 'bronze': 0}",1,114,0,1,2019-10-19,58467247
12196044,12196044,Thomas Märki,https://stackoverflow.com/users/12196044/thomas-m%c3%a4rki,"{'gold': 0, 'silver': 0, 'bronze': 2}",13,880,0,1,2019-10-10,58326351
12184444,12184444,Harrison Kane,https://stackoverflow.com/users/12184444/harrison-kane,"{'gold': 0, 'silver': 0, 'bronze': 2}",21,2000,0,1,2019-10-08,58293412
12164059,12164059,Marina,https://stackoverflow.com/users/12164059/marina,"{'gold': 0, 'silver': 0, 'bronze': 2}",3,292,0,1,2019-10-04,58284800
221794,221794,Dyno Fu,https://stackoverflow.com/users/221794/dyno-fu,"{'gold': 4, 'silver': 42, 'bronze': 72}",8994,1700000,208,28,2009-12-01,58253197
9670371,9670371,trougc,https://stackoverflow.com/users/9670371/trougc,"{'gold': 0, 'silver': 5, 'bronze': 18}",405,31000,3,31,2018-04-19,58191320
2873150,2873150,Guillermo E Ponce-Campos,https://stackoverflow.com/users/2873150/guillermo-e-ponce-campos,"{'gold': 0, 'silver': 1, 'bronze': 8}",115,7000,3,5,2013-10-12,58107832
5212614,5212614,ASH,https://stackoverflow.com/users/5212614/ash,"{'gold': 25, 'silver': 110, 'bronze': 237}",20198,3900000,"2,489",823,2015-08-10,58106762
12121496,12121496,Ezana Aimero,https://stackoverflow.com/users/12121496/ezana-aimero,"{'gold': 0, 'silver': 0, 'bronze': 1}",3,398,0,1,2019-09-25,58106200
5654564,5654564,Marco Fumagalli,https://stackoverflow.com/users/5654564/marco-fumagalli,"{'gold': 3, 'silver': 28, 'bronze': 46}",2437,246000,13,102,2015-12-08,58099388
10541642,10541642,Viewsonic,https://stackoverflow.com/users/10541642/viewsonic,"{'gold': 3, 'silver': 17, 'bronze': 39}",947,122000,10,67,2018-10-22,58092586
12050661,12050661,EpicJ,https://stackoverflow.com/users/12050661/epicj,"{'gold': 0, 'silver': 0, 'bronze': 2}",13,179,0,2,2019-09-11,58091045
3871857,3871857,DrRufus,https://stackoverflow.com/users/3871857/drrufus,"{'gold': 0, 'silver': 0, 'bronze': 1}",1,275,0,1,2014-07-24,58051707
5786863,5786863,caewok,https://stackoverflow.com/users/5786863/caewok,"{'gold': 0, 'silver': 1, 'bronze': 3}",91,5000,6,1,2016-01-13,58051432
12101911,12101911,ZORO,https://stackoverflow.com/users/12101911/zoro,"{'gold': 0, 'silver': 0, 'bronze': 1}",14,601,3,1,2019-09-22,58047102
10170859,10170859,Qendrim Krasniqi,https://stackoverflow.com/users/10170859/qendrim-krasniqi,"{'gold': 1, 'silver': 1, 'bronze': 13}",182,18000,2,13,2018-08-02,58015854
2962786,2962786,DataTx,https://stackoverflow.com/users/2962786/datatx,"{'gold': 3, 'silver': 26, 'bronze': 51}",1869,970000,58,59,2013-11-07,58011829
8695616,8695616,Will.I.am,https://stackoverflow.com/users/8695616/will-i-am,"{'gold': 0, 'silver': 0, 'bronze': 6}",25,2000,1,4,2017-09-29,58011382
10170859,10170859,Qendrim Krasniqi,https://stackoverflow.com/users/10170859/qendrim-krasniqi,"{'gold': 1, 'silver': 1, 'bronze': 13}",182,18000,2,13,2018-08-02,57998383
8236733,8236733,lampShadesDrifter,https://stackoverflow.com/users/8236733/lampshadesdrifter,"{'gold': 9, 'silver': 50, 'bronze': 117}",4139,453000,111,267,2017-06-30,57981830
7111951,7111951,jessicalfr,https://stackoverflow.com/users/7111951/jessicalfr,"{'gold': 0, 'silver': 0, 'bronze': 7}",79,5000,1,8,2016-11-03,57979819
8836963,8836963,Marcel Mendes Reis,https://stackoverflow.com/users/8836963/marcel-mendes-reis,"{'gold': 0, 'silver': 0, 'bronze': 10}",107,8000,3,12,2017-10-26,57978333
8836963,8836963,Marcel Mendes Reis,https://stackoverflow.com/users/8836963/marcel-mendes-reis,"{'gold': 0, 'silver': 0, 'bronze': 10}",107,8000,3,12,2017-10-26,57966245
12042615,12042615,felegant,https://stackoverflow.com/users/12042615/felegant,"{'gold': 0, 'silver': 0, 'bronze': 4}",13,2000,1,4,2019-09-09,57951856
8695616,8695616,Will.I.am,https://stackoverflow.com/users/8695616/will-i-am,"{'gold': 0, 'silver': 0, 'bronze': 6}",25,2000,1,4,2017-09-29,57896105
12052040,12052040,Mladen Dragicevic,https://stackoverflow.com/users/12052040/mladen-dragicevic,"{'gold': 0, 'silver': 0, 'bronze': 3}",11,1000,0,1,2019-09-11,57885860
12051758,12051758,pfohl,https://stackoverflow.com/users/12051758/pfohl,"{'gold': 0, 'silver': 0, 'bronze': 3}",21,1000,0,1,2019-09-11,57885421
7897666,7897666,user1120,https://stackoverflow.com/users/7897666/user1120,"{'gold': 1, 'silver': 1, 'bronze': 7}",119,134000,1,7,2017-04-20,57877561
9311050,9311050,Divya Mereddy,https://stackoverflow.com/users/9311050/divya-mereddy,"{'gold': 0, 'silver': 0, 'bronze': 1}",31,385,1,2,2018-02-04,57828268
6056224,6056224,Alireza Ebrahimvandi,https://stackoverflow.com/users/6056224/alireza-ebrahimvandi,"{'gold': 0, 'silver': 0, 'bronze': 5}",41,1000,1,3,2016-03-13,57820153
12028104,12028104,Li Y,https://stackoverflow.com/users/12028104/li-y,"{'gold': 0, 'silver': 0, 'bronze': 1}",1,220,0,1,2019-09-06,57815685
8836963,8836963,Marcel Mendes Reis,https://stackoverflow.com/users/8836963/marcel-mendes-reis,"{'gold': 0, 'silver': 0, 'bronze': 10}",107,8000,3,12,2017-10-26,57811873
8236733,8236733,lampShadesDrifter,https://stackoverflow.com/users/8236733/lampshadesdrifter,"{'gold': 9, 'silver': 50, 'bronze': 117}",4139,453000,111,267,2017-06-30,57778445
8236733,8236733,lampShadesDrifter,https://stackoverflow.com/users/8236733/lampshadesdrifter,"{'gold': 9, 'silver': 50, 'bronze': 117}",4139,453000,111,267,2017-06-30,57778138
7846405,7846405,sefiks,https://stackoverflow.com/users/7846405/sefiks,"{'gold': 0, 'silver': 10, 'bronze': 18}",1585,938000,152,6,2017-04-10,57758996
5852989,5852989,Goh-shans,https://stackoverflow.com/users/5852989/goh-shans,"{'gold': 0, 'silver': 3, 'bronze': 12}",125,13000,0,9,2016-01-28,57749892
1978971,1978971,CHW,https://stackoverflow.com/users/1978971/chw,"{'gold': 0, 'silver': 0, 'bronze': 2}",31,2000,0,2,2013-01-15,57741388
12001172,12001172,curios,https://stackoverflow.com/users/12001172/curios,"{'gold': 0, 'silver': 0, 'bronze': 2}",11,355,1,1,2019-08-30,57732980
7363680,7363680,Brisbane Pom,https://stackoverflow.com/users/7363680/brisbane-pom,"{'gold': 1, 'silver': 9, 'bronze': 22}",601,58000,4,25,2017-01-02,57708979
11067633,11067633,MLearner,https://stackoverflow.com/users/11067633/mlearner,"{'gold': 0, 'silver': 1, 'bronze': 7}",63,8000,0,9,2019-02-15,57708579
11809449,11809449,CHOI,https://stackoverflow.com/users/11809449/choi,"{'gold': 0, 'silver': 0, 'bronze': 0}",1,115,0,1,2019-07-19,57704535
11045595,11045595,maop,https://stackoverflow.com/users/11045595/maop,"{'gold': 0, 'silver': 2, 'bronze': 16}",213,24000,8,12,2019-02-11,57621947
1578274,1578274,Vaibhav,https://stackoverflow.com/users/1578274/vaibhav,"{'gold': 1, 'silver': 28, 'bronze': 32}",2547,2000000,31,14,2012-08-06,57595703
11489179,11489179,shafi Q,https://stackoverflow.com/users/11489179/shafi-q,"{'gold': 0, 'silver': 0, 'bronze': 8}",77,5000,3,17,2019-05-12,57585109
7227825,7227825,Bernardo,https://stackoverflow.com/users/7227825/bernardo,"{'gold': 0, 'silver': 8, 'bronze': 21}",498,34000,9,26,2016-11-29,57580680
11045595,11045595,maop,https://stackoverflow.com/users/11045595/maop,"{'gold': 0, 'silver': 2, 'bronze': 16}",213,24000,8,12,2019-02-11,57576662
217224,217224,anthony,https://stackoverflow.com/users/217224/anthony,"{'gold': 1, 'silver': 3, 'bronze': 12}",293,24000,2,6,2009-11-23,57571722
8573068,8573068,missuse,https://stackoverflow.com/users/8573068/missuse,"{'gold': 3, 'silver': 28, 'bronze': 52}",19598,1100000,498,9,2017-09-07,57570144
11616033,11616033,BP34500,https://stackoverflow.com/users/11616033/bp34500,"{'gold': 0, 'silver': 0, 'bronze': 9}",178,7000,7,6,2019-06-07,57526304
11935985,11935985,ATUL AGARWAL,https://stackoverflow.com/users/11935985/atul-agarwal,"{'gold': 0, 'silver': 1, 'bronze': 3}",101,5000,0,2,2019-08-16,57524459
2364898,2364898,sandy4na,https://stackoverflow.com/users/2364898/sandy4na,"{'gold': 0, 'silver': 0, 'bronze': 5}",53,2000,0,4,2013-05-09,57520867
7070142,7070142,Máiron Chaves,https://stackoverflow.com/users/7070142/m%c3%a1iron-chaves,"{'gold': 0, 'silver': 0, 'bronze': 4}",45,1000,0,7,2016-10-25,57469702
11643574,11643574,Ashti,https://stackoverflow.com/users/11643574/ashti,"{'gold': 0, 'silver': 1, 'bronze': 12}",97,7000,0,23,2019-06-13,57466654
2298397,2298397,Peter Zhao,https://stackoverflow.com/users/2298397/peter-zhao,"{'gold': 3, 'silver': 22, 'bronze': 23}",7546,785000,20,3,2013-04-19,57454662
3516936,3516936,Neo,https://stackoverflow.com/users/3516936/neo,"{'gold': 5, 'silver': 22, 'bronze': 29}",4458,814000,7,26,2014-04-09,57420788
